[438, 2.737987326333431]
[439, 3.0394141191761372]
[440, 1.3222192947339193]
[441, 2.737987326333431]
[442, 3.0394141191761372]
[443, 3.0394141191761372]
[444, 2.737987326333431]
[445, 3.0394141191761372]
[446, 3.0394141191761372]
[447, 1.6901960800285136]
[448, 2.737987326333431]
[449, 2.737987326333431]
[450, 0.7781512503836436]
[451, 2.737987326333431]
[452, 1.5563025007672873]
[453, 2.3404441148401185]
[454, 2.5622928644564746]
[455, 2.737987326333431]
[456, 3.0394141191761372]
[457, 3.0394141191761372]
[458, 1.9590413923210936]
[459, 2.1931245983544616]
[460, 3.0394141191761372]
[461, 3.0394141191761372]
[462, 3.0394141191761372]
[463, 2.0827853703164503]
[464, 1.4471580313422192]
[465, 2.3404441148401185]
[466, 2.737987326333431]
[467, 3.0394141191761372]
[468, 2.1335389083702174]
[469, 2.436162647040756]
[470, 2.5622928644564746]
[471, 1.6334684555795864]
[472, 3.0394141191761372]
[473, 2.1335389083702174]
[474, 2.737987326333431]
[475, 2.5622928644564746]
[476, 2.436162647040756]
[477, 2.2600713879850747]
[478, 2.436162647040756]
[479, 2.3404441148401185]
[480, 3.0394141191761372]
[481, 3.0394141191761372]
[482, 3.0394141191761372]
[483, 1.3424226808222062]
[484, 1.8920946026904804]
[485, 2.737987326333431]
[486, 1.863322860120456]
[487, 3.0394141191761372]
[488, 2.1931245983544616]
[489, 1.9242792860618816]
[490, 1.3617278360175928]
[491, 1.9590413923210936]
[492, 3.0394141191761372]
[493, 1.6020599913279623]
[494, 2.436162647040756]
[495, 2.1335389083702174]
[496, 0.47712125471966244]
[497, 2.737987326333431]
[498, 2.737987326333431]
[499, 1.99563519459755]
[500, 3.0394141191761372]
[501, 3.0394141191761372]
[502, 2.2600713879850747]
[503, 2.737987326333431]
[504, 2.1335389083702174]
[505, 3.0394141191761372]
[506, 1.99563519459755]
[507, 1.7160033436347992]
[508, 3.0394141191761372]
[509, 3.0394141191761372]
[510, 1.9242792860618816]
[511, 1.863322860120456]
[512, 3.0394141191761372]
[513, 0.7781512503836436]
[514, 3.0394141191761372]
[515, 1.7781512503836436]
[516, 1.99563519459755]
[517, 3.0394141191761372]
[518, 1.2304489213782739]
[519, 0.6020599913279624]
[520, 1.3424226808222062]
[521, 3.0394141191761372]
[522, 3.0394141191761372]
[523, 2.737987326333431]
[524, 2.2600713879850747]
[525, 1.6020599913279623]
[526, 2.737987326333431]
[527, 3.0394141191761372]
[528, 2.737987326333431]
[529, 1.8325089127062364]
[530, 2.737987326333431]
[531, 2.3404441148401185]
[532, 3.0394141191761372]
[533, 3.0394141191761372]
[534, 1.806179973983887]
[535, 3.0394141191761372]
[536, 2.737987326333431]
[537, 2.737987326333431]
[538, 3.0394141191761372]
[539, 2.737987326333431]
[540, 2.5622928644564746]
[541, 2.737987326333431]
[542, 3.0394141191761372]
[543, 1.7323937598229686]
[544, 3.0394141191761372]
[545, 3.0394141191761372]
[546, 3.0394141191761372]
[547, 2.737987326333431]
[548, 3.0394141191761372]
[549, 3.0394141191761372]
[550, 2.2600713879850747]
[551, 2.1335389083702174]
[552, 2.0827853703164503]
[553, 2.1335389083702174]
[554, 2.3404441148401185]
[555, 2.2600713879850747]
[556, 3.0394141191761372]
[557, 1.6232492903979006]
[558, 2.436162647040756]
[559, 2.5622928644564746]
[560, 1.99563519459755]
[561, 2.737987326333431]
[562, 1.8920946026904804]
[563, 2.0827853703164503]
[564, 1.255272505103306]
[565, 1.0413926851582251]
[566, 2.436162647040756]
[567, 1.9242792860618816]
[568, 1.7781512503836436]
[569, 3.0394141191761372]
[570, 3.0394141191761372]
[571, 1.7160033436347992]
[572, 1.2041199826559248]
[573, 2.436162647040756]
[574, 3.0394141191761372]
[575, 3.0394141191761372]
[576, 1.7781512503836436]
[577, 3.0394141191761372]
[578, 3.0394141191761372]
[579, 0.6989700043360189]
[580, 2.1931245983544616]
[581, 1.0413926851582251]
[582, 0.6989700043360189]
[583, 3.0394141191761372]
[584, 2.737987326333431]
[585, 2.5622928644564746]
[586, 2.037426497940624]
[587, 2.1335389083702174]
[588, 3.0394141191761372]
[589, 2.737987326333431]
[590, 1.7781512503836436]
[591, 1.8325089127062364]
[592, 1.2041199826559248]
[593, 2.5622928644564746]
[594, 2.737987326333431]
[595, 1.8325089127062364]
[596, 2.436162647040756]
[597, 2.737987326333431]
[598, 2.5622928644564746]
[599, 3.0394141191761372]
[600, 1.3424226808222062]
[601, 1.7781512503836436]
[602, 1.6334684555795864]
[603, 1.9590413923210936]
[604, 1.2041199826559248]
[605, 2.436162647040756]
[606, 3.0394141191761372]
[607, 2.737987326333431]
[608, 1.2304489213782739]
[609, 2.737987326333431]
[610, 3.0394141191761372]
[611, 1.1760912590556813]
[612, 1.380211241711606]
[613, 3.0394141191761372]
[614, 2.5622928644564746]
[615, 3.0394141191761372]
[616, 3.0394141191761372]
